################################Religions################################
canaanite;Canaanite;;;;;;;;;;;;;x

bene_elihi;Bene Elihi;;;;;;;;;;;;;x
bene_elihi_desc;The fertile westlands of Kenaan are home to a unique blend of gods and heroes. The creator and gray-haired father of the Elihi is El “The Bull” who rules from his tent atop mount Sappan and instructs his children and servants alongside his consort Asherah. Ba’al Hadaad son of Dagon holds lightning in the palm of his hand and brings the summer rains, in the youth of the world he challenged wicked Yam of the sea and defeated the coiling serpent Litanu. Fiery Molek fumes and demands offerings from his followers and grants them boons of health and herds. Each city and king tends to have a particular patron from among the pantheon.;;;;;;;;;;;;;x
BAAL_KTOVET;Ba’al K'tovet;;;;;;;;;;;;;x
KOHEN;Kohen;;;;;;;;;;;;;x
GOD_EL_TORU;El Toru;;;;;;;;;;;;;x
GOD_BAAL_HADAD;Ba'al Hadad;;;;;;;;;;;;;x
GOD_ASHERAH;Asherah;;;;;;;;;;;;;x
GOD_MOLEK;Molek;;;;;;;;;;;;;x
GOD_RESHEPH;Resheph;;;;;;;;;;;;;x
GOD_DAGON;Dagon;;;;;;;;;;;;;x
GOD_LITANU;Litanu;;;;;;;;;;;;;x
GOD_YAM;Yam;;;;;;;;;;;;;x
GOD_MOT;Mot;;;;;;;;;;;;;x
